iter	RMSE
0	18.2353126
1	17.60824006
2	17.03347967
3	16.59229222
4	16.29273727
5	15.85090108
6	15.22829841
7	14.73491455
8	14.37249994
9	13.89528841
10	13.40172975
11	12.995066
12	12.67295298
13	12.39398428
14	12.11476122
15	11.8489925
16	11.5667152
17	11.27479536
18	11.12339894
19	10.89569848
20	10.6773451
21	10.36797163
22	10.0443179
23	9.823767057
24	9.63354111
25	9.5007244
26	9.28079628
27	9.009266908
28	8.865213211
29	8.741917204
30	8.536133963
31	8.394452896
32	8.181616525
33	8.021407781
34	7.900590633
35	7.747537016
36	7.641450549
37	7.543974567
38	7.449927878
39	7.355731753
40	7.270025501
41	7.175844195
42	7.085922875
43	7.008466352
44	6.924801062
45	6.849426659
46	6.770744986
47	6.696542604
48	6.619526066
49	6.547222617
50	6.479790776
51	6.415345026
52	6.338105601
53	6.272468659
54	6.212168158
55	6.136794557
56	6.076722041
57	6.012806737
58	5.952455742
59	5.887782473
60	5.834543412
61	5.777860402
62	5.721826698
63	5.664925982
64	5.605582981
65	5.553336462
66	5.500490239
67	5.433904139
68	5.385956244
69	5.342375162
70	5.297809242
71	5.257355266
72	5.213317152
73	5.172863712
74	5.12887476
75	5.084383446
76	5.040048335
77	4.9985793
78	4.959428551
79	4.918444251
80	4.879508974
81	4.838828242
82	4.802645135
83	4.765258903
84	4.731021376
85	4.693892661
86	4.648647672
87	4.61330459
88	4.577979082
89	4.538067748
90	4.504404833
91	4.464120974
92	4.433168656
93	4.398169297
94	4.367576966
95	4.335933325
96	4.30926383
97	4.274268218
98	4.248437411
99	4.206053191
100	4.174045584
101	4.148746253
102	4.120672084
103	4.092449897
104	4.05110134
105	4.021582674
106	3.990595729
107	3.965979327
108	3.935309433
109	3.903210009
110	3.877256748
111	3.854691853
112	3.829382921
113	3.802892634
114	3.779064135
115	3.753432515
116	3.725442906
117	3.695214167
118	3.667191945
119	3.635814277
120	3.613964315
121	3.590989971
122	3.569897543
123	3.54834374
124	3.522030933
125	3.492807915
126	3.472843095
127	3.445983553
128	3.419276258
129	3.398631602
130	3.372764039
131	3.352952284
132	3.333816529
133	3.314464181
134	3.289603102
135	3.269824779
136	3.251301109
137	3.234103339
138	3.216888382
139	3.195865773
140	3.171556289
141	3.153629777
142	3.129868964
143	3.106743982
144	3.090018533
145	3.07285775
146	3.057249461
147	3.034501758
148	3.017905921
149	3.002417348
150	2.986188629
151	2.970318366
152	2.954128135
153	2.933059676
154	2.912000344
155	2.897112475
156	2.877020314
157	2.861099601
158	2.844894522
159	2.823874542
160	2.808820079
161	2.788623819
162	2.773838431
163	2.756749961
164	2.742426778
