iter	Passed	Remaining
0	20	20835
1	36	18055
2	51	17123
3	71	17915
4	125	24998
5	167	27687
6	186	26400
7	245	30409
8	277	30516
9	294	29148
10	321	28907
11	350	28855
12	387	29408
13	484	34119
14	553	36349
15	612	37662
16	626	36252
17	650	35495
18	672	34718
19	704	34527
20	728	33976
21	747	33227
22	761	32339
23	776	31558
24	796	31044
25	812	30421
26	827	29804
27	841	29219
28	858	28754
29	874	28275
30	912	28522
31	944	28585
32	994	29154
33	1050	29848
34	1109	30582
35	1150	30820
36	1188	30930
37	1226	31041
38	1315	32416
39	1341	32204
40	1402	32794
41	1468	33492
42	1492	33219
43	1520	33046
44	1539	32681
45	1574	32644
46	1630	33050
47	1665	33041
48	1695	32897
49	1724	32758
50	1756	32679
51	1777	32399
52	1809	32332
53	1831	32081
54	1892	32522
55	1936	32640
56	1972	32637
57	1994	32395
58	2020	32226
59	2069	32418
60	2095	32253
61	2117	32039
62	2157	32091
63	2184	31949
64	2202	31676
65	2243	31743
66	2306	32116
67	2351	32227
68	2438	32902
69	2458	32669
70	2488	32561
71	2530	32616
72	2574	32688
73	2620	32790
74	2651	32698
75	2692	32733
76	2790	33447
77	2843	33608
78	2931	34174
79	2952	33956
80	2995	33986
81	3061	34277
82	3151	34818
83	3208	34992
84	3277	35276
85	3335	35453
86	3376	35431
87	3418	35427
88	3486	35686
89	3539	35784
90	3583	35795
91	3604	35572
92	3649	35596
93	3670	35374
94	3711	35352
95	3739	35217
96	3769	35094
97	3784	34836
98	3814	34713
99	3836	34529
100	3870	34448
101	3938	34673
102	3979	34653
103	3999	34460
104	4091	34875
105	4110	34670
106	4131	34479
107	4150	34280
108	4193	34277
109	4239	34297
110	4275	34245
111	4305	34139
112	4347	34123
113	4382	34059
114	4416	33986
115	4520	34451
116	4552	34357
117	4571	34166
118	4618	34194
119	4642	34047
120	4664	33885
121	4687	33732
122	4718	33642
123	4763	33654
124	4783	33485
125	4800	33295
126	4814	33096
127	4832	32922
128	4849	32746
129	4864	32552
130	4879	32366
131	4897	32207
132	4912	32025
133	4932	31877
134	4958	31769
135	4974	31601
136	4988	31425
137	5001	31240
138	5013	31054
139	5034	30927
140	5052	30781
141	5070	30639
142	5087	30487
143	5103	30337
144	5120	30193
145	5140	30066
146	5169	29996
147	5198	29928
148	5225	29842
149	5254	29774
150	5277	29670
151	5323	29697
152	5349	29616
153	5371	29510
154	5394	29408
155	5446	29466
156	5468	29363
157	5486	29240
